level,word,translation
A1,name,ім’я
A1,first name,ім’я
A1,last name / surname,прізвище
A1,age,вік
A1,birthday,день народження
A1,country,країна
A1,city,місто
A1,nationality,національність
A1,address,адреса
A1,phone number,номер телефону
A1,email address,електронна адреса
A1,phone,телефон
A1,student,студент / учень
A1,teacher,вчитель
A1,job,робота / професія
A1,work,робота
A1,school,школа
A1,university,університет
A1,friend,друг / подруга
A1,favourite,улюблений
A1,from,з / родом із
A1,family,сім’я
A1,mother / mum,мама
A1,father / dad,тато
A1,parents,батьки
A1,sister,сестра
A1,brother,брат
A1,grandmother,бабуся
A1,grandfather,дідусь
A1,grandparents,бабуся й дідусь
A1,daughter,дочка
A1,son,син
A1,aunt,тітка
A1,uncle,дядько
A1,cousin,двоюрідний брат / сестра
A1,husband,чоловік
A1,wife,дружина
A1,child,дитина
A1,children,діти
A1,boyfriend,хлопець
A1,girlfriend,дівчина
A1,best friend,найкращий друг / подруга
A1,neighbour,сусід / сусідка
A1,person,людина
A1,people,люди
A1,young,молодий
A1,old,старий / літній
A1,married,одружений
A1,single,неодружений
A1,one,один
A1,two,два
A1,three,три
A1,four,чотири
A1,five,п’ять
A1,six,шість
A1,seven,сім
A1,eight,вісім
A1,nine,дев’ять
A1,ten,десять
A1,eleven,одинадцять
A1,twelve,дванадцять
A1,thirteen,тринадцять
A1,fourteen,чотирнадцять
A1,fifteen,п’ятнадцять
A1,sixteen,шістнадцять
A1,seventeen,сімнадцять
A1,eighteen,вісімнадцять
A1,nineteen,дев’ятнадцять
A1,twenty,двадцять
A1,thirty,тридцять
A1,forty,сорок
A1,fifty,п’ятдесят
A1,sixty,шістдесят
A1,seventy,сімдесят
A1,eighty,вісімдесят
A1,ninety,дев’яносто
A1,one hundred,сто
A1,Monday,понеділок
A1,Tuesday,вівторок
A1,Wednesday,середа
A1,Thursday,четвер
A1,Friday,п’ятниця
A1,Saturday,субота
A1,Sunday,неділя
A1,January,січень
A1,February,лютий
A1,March,березень
A1,April,квітень
A1,May,травень
A1,June,червень
A1,July,липень
A1,August,серпень
A1,September,вересень
A1,October,жовтень
A1,November,листопад
A1,December,грудень
A1,spring,весна
A1,summer,літо
A1,autumn / fall,осінь
A1,winter,зима
A1,white,білий
A1,black,чорний
A1,red,червоний
A1,blue,синій
A1,green,зелений
A1,yellow,жовтий
A1,orange,помаранчевий
A1,pink,рожевий
A1,purple,фіолетовий
A1,brown,коричневий
A1,grey,сірий
A1,beige,бежевий
A1,light,світлий
A1,dark,темний
A1,clothes,одяг
A1,T-shirt,футболка
A1,shirt,сорочка
A1,blouse,блузка
A1,top,топ
A1,sweater,светр
A1,jumper,светр
A1,hoodie,худі
A1,jacket,куртка / жакет
A1,coat,пальто
A1,dress,сукня
A1,skirt,спідниця
A1,jeans,джинси
A1,trousers,штани
A1,shorts,шорти
A1,suit,костюм
A1,shoes,взуття
A1,trainers / sneakers,кросівки
A1,boots,черевики / чоботи
A1,sandals,босоніжки
A1,socks,шкарпетки
A1,hat,капелюх
A1,cap,кепка
A1,scarf,шарф
A1,gloves,рукавички
A1,bag,сумка
A1,belt,ремінь
A1,underwear,нижня білизна
A1,pyjamas,піжама
A1,food,їжа
A1,bread,хліб
A1,rice,рис
A1,pasta,макарони
A1,potato,картопля
A1,tomato,помідор
A1,cucumber,огірок
A1,carrot,морква
A1,onion,цибуля
A1,salad,салат
A1,vegetable,овоч
A1,fruit,фрукт
A1,apple,яблуко
A1,banana,банан
A1,orange,апельсин
A1,lemon,лимон
A1,strawberry,полуниця
A1,grape,виноград
A1,meat,м’ясо
A1,chicken,курка / курятина
A1,fish,риба
A1,egg,яйце
A1,cheese,сир
A1,butter,масло
A1,milk,молоко
A1,yogurt,йогурт
A1,sandwich,бутерброд
A1,pizza,піца
A1,burger,бургер
A1,cake,торт
A1,chocolate,шоколад
A1,ice cream,морозиво
A1,water,вода
A1,tea,чай
A1,coffee,кава
A1,juice,сік
A1,lemonade,лимонад
A1,hot chocolate,гарячий шоколад
A1,breakfast,сніданок
A1,lunch,обід
A1,dinner,вечеря
A1,meal,прийом їжі / страва
A1,hungry,голодний
A1,thirsty,спраглий
A1,delicious,смачний
A1,sweet,солодкий
A1,salty,солоний
A1,hot,гарячий
A1,cold,холодний
A1,house,будинок
A1,flat / apartment,квартира
A1,room,кімната
A1,bedroom,спальня
A1,living room,вітальня
A1,kitchen,кухня
A1,bathroom,ванна кімната
A1,toilet,туалет
A1,hall / hallway,коридор
A1,balcony,балкон
A1,garden,сад
A1,garage,гараж
A1,bed,ліжко
A1,sofa,диван
A1,chair,стілець
A1,table,стіл
A1,desk,письмовий стіл
A1,wardrobe,шафа для одягу
A1,cupboard,шафа
A1,shelf,полиця
A1,bookcase,книжкова шафа
A1,mirror,дзеркало
A1,lamp,лампа
A1,carpet,килим
A1,curtain,штора
A1,door,двері
A1,window,вікно
A1,floor,підлога
A1,wall,стіна
A1,ceiling,стеля
A1,fridge,холодильник
A1,oven,духовка
A1,microwave,мікрохвильова піч
A1,sink,раковина
A1,plate,тарілка
A1,cup,чашка
A1,glass,склянка
A1,fork,виделка
A1,knife,ніж
A1,spoon,ложка
A1,wake up,прокидатися
A1,get up,вставати
A1,have breakfast,снідати
A1,have lunch,обідати
A1,have dinner,вечеряти
A1,go to work,йти на роботу
A1,go to school,йти до школи
A1,go to university,йти до університету
A1,come home,приходити додому
A1,get home,приходити додому
A1,have a shower,приймати душ
A1,have a bath,приймати ванну
A1,brush my teeth,чистити зуби
A1,wash my face,вмиватися
A1,get dressed,одягатися
A1,get undressed,роздягатися
A1,make breakfast,готувати сніданок
A1,make dinner,готувати вечерю
A1,cook,готувати
A1,eat,їсти
A1,drink,пити
A1,go shopping,ходити за покупками
A1,go for a walk,гуляти
A1,meet friends,зустрічатися з друзями
A1,watch TV,дивитися телевізор
A1,watch a film,дивитися фільм
A1,listen to music,слухати музику
A1,read a book,читати книгу
A1,do homework,робити домашнє завдання
A1,study,навчатися
A1,work,працювати
A1,use my phone,користуватися телефоном
A1,go to bed,лягати спати
A1,go to sleep,засинати
A1,sleep,спати
A1,every day,щодня
A1,every morning,щоранку
A1,every evening,щовечора
A1,in the morning,вранці
A1,in the afternoon,вдень
A1,in the evening,ввечері
A1,at night,вночі
A1,early,рано
A1,late,пізно
A1,today,сьогодні
A1,tomorrow,завтра
A1,yesterday,вчора
A1,usually,зазвичай
A1,always,завжди
A1,sometimes,іноді
A1,never,ніколи
A1,be,бути
A1,have,мати
A1,do,робити
A1,go,йти / їхати
A1,come,приходити
A1,get,отримувати / ставати / діставатися
A1,make,робити / створювати
A1,take,брати
A1,give,давати
A1,want,хотіти
A1,need,потребувати
A1,like,подобатися
A1,love,любити
A1,know,знати
A1,think,думати
A1,understand,розуміти
A1,remember,пам’ятати
A1,forget,забувати
A1,see,бачити
A1,look,дивитися
A1,watch,дивитися
A1,hear,чути
A1,listen,слухати
A1,say,казати
A1,tell,розповідати / казати
A1,speak,говорити
A1,talk,розмовляти
A1,ask,питати
A1,answer,відповідати
A1,read,читати
A1,write,писати
A1,learn,вчити / навчатися
A1,live,жити
A1,buy,купувати
A1,pay,платити
A1,use,використовувати
A1,open,відкривати
A1,close,закривати
A1,start,починати
A1,finish,закінчувати
A1,help,допомагати
A1,call,телефонувати
A1,meet,зустрічати(ся)
A1,play,грати
A1,walk,ходити / гуляти
A1,run,бігати
A1,sit,сидіти
A1,stand,стояти
A1,wash,мити
A1,clean,прибирати / чистити
A1,wear,носити одяг
A1,put,класти / ставити
A1,bring,приносити
A1,find,знаходити
A1,wait,чекати
A1,stay,залишатися
A1,feel,почуватися
A1,try,намагатися
A1,can,могти
A1,must,мусити
A1,should,слід / варто
A1,leave,залишати / йти
A1,arrive,прибувати
A1,travel,подорожувати
A1,drive,керувати автомобілем
A1,ride,їхати
A1,fly,літати
A1,swim,плавати
A1,dance,танцювати
A1,sing,співати
A1,draw,малювати
A1,smile,посміхатися
A1,laugh,сміятися
A1,cry,плакати
A1,turn on,вмикати
A1,turn off,вимикати
A1,good,хороший
A1,bad,поганий
A1,big,великий
A1,small,маленький
A1,long,довгий
A1,short,короткий
A1,new,новий
A1,beautiful,красивий
A1,nice,приємний
A1,happy,щасливий
A1,sad,сумний
A1,easy,легкий
A1,difficult / hard,складний
A1,interesting,цікавий
A1,boring,нудний
A1,busy,зайнятий
A1,free,вільний
A1,tired,втомлений
A1,fast,швидкий
A1,slow,повільний
A1,right,правильний / правий
A1,wrong,неправильний
A1,same,однаковий
A1,different,різний
A1,clean,чистий
A1,dirty,брудний
A1,open,відкритий
A1,closed,закритий
A1,full,повний
A1,empty,порожній
A2,hobby,хобі
A2,free time,вільний час
A2,leisure,дозвілля
A2,activity,діяльність / заняття
A2,interest,інтерес
A2,sport,спорт
A2,exercise,фізичні вправи
A2,gym,спортзал
A2,fitness,фітнес
A2,football,футбол
A2,tennis,теніс
A2,volleyball,волейбол
A2,cycling,їзда на велосипеді
A2,running,біг
A2,swimming,плавання
A2,dancing,танці
A2,hiking,піші прогулянки / хайкінг
A2,painting,малювання / живопис
A2,drawing,малювання
A2,photography,фотографія
A2,cooking,кулінарія
A2,reading,читання
A2,writing,письмо
A2,gardening,садівництво
A2,shopping,шопінг / покупки
A2,travelling,подорожі
A2,watch a series,дивитися серіал
A2,play games,грати в ігри
A2,play an instrument,грати на музичному інструменті
A2,go out,виходити кудись / гуляти
A2,hang out,проводити час разом
A2,spend time,проводити час
A2,relax,відпочивати
A2,have fun,веселитися / добре проводити час
A2,enjoy,насолоджуватися
A2,prefer,надавати перевагу
A2,collect,колекціонувати
A2,join,приєднуватися
A2,practice,практикуватися / тренуватися
A2,win,вигравати
A2,lose,програвати
A2,team,команда
A2,competition,змагання
A2,match,матч
A2,game,гра / матч
A2,club,клуб / гурток
A2,shop,магазин
A2,shopping centre / mall,торговий центр
A2,supermarket,супермаркет
A2,market,ринок
A2,bakery,пекарня
A2,clothes shop,магазин одягу
A2,customer,покупець
A2,seller,продавець
A2,cashier,касир
A2,price,ціна
A2,cost,коштувати / вартість
A2,money,гроші
A2,cash,готівка
A2,card,картка
A2,credit card,кредитна картка
A2,debit card,дебетова картка
A2,coin,монета
A2,banknote,банкнота
A2,wallet,гаманець
A2,receipt,чек
A2,change,решта
A2,sale,розпродаж
A2,discount,знижка
A2,offer,пропозиція
A2,special offer,спеціальна пропозиція
A2,size,розмір
A2,medium,середній
A2,large,великий
A2,cheap,дешевий
A2,expensive,дорогий
A2,free,безкоштовний
A2,affordable,доступний за ціною
A2,brand,бренд
A2,product,товар / продукт
A2,item,товар / річ
A2,quality,якість
A2,choose,обирати
A2,try on,приміряти
A2,fit,підходити за розміром
A2,sell,продавати
A2,spend,витрачати
A2,save,заощаджувати
A2,borrow,позичати
A2,lend,позичати комусь
A2,order,замовляти
A2,return,повертати
A2,exchange,обмінювати
A2,deliver,доставляти
A2,delivery,доставка
A2,online shopping,онлайн-шопінг
A2,shopping bag,пакет / сумка для покупок
A2,How much is it?,Скільки це коштує?
A2,How much does it cost?,Скільки це коштує?
A2,Can I try it on?,Можна це приміряти?
A2,I'd like to buy…,Я хотів/хотіла б купити…
A2,travel,подорожувати / подорож
A2,trip,поїздка
A2,journey,подорож / поїздка
A2,holiday / vacation,відпустка / канікули
A2,tour,тур / екскурсійна поїздка
A2,tourist,турист
A2,destination,місце призначення
A2,capital,столиця
A2,city centre,центр міста
A2,airport,аеропорт
A2,train station,залізничний вокзал
A2,bus station,автовокзал
A2,hotel,готель
A2,hostel,хостел
A2,room,кімната / номер
A2,reservation / booking,бронювання
